#: table_doi: 10.17182/hepdata.102956.v1/t38
#: name: parton_abs_ttm_covariance
#: description: differential cross sections.
#: data_file: parton_abs_ttm_covariance.yaml
#: keyword reactions: P P --> TOP TOPBAR
#: keyword observables: DN/DQ(TT)
#: keyword cmenergies: 13000.0
#: keyword phrases: Differential Cross Section | Cross Section | Proton-Proton Scattering | top quark Production | top quark pair Production
bin number,bin number LOW,bin number HIGH,bin number,bin number LOW,bin number HIGH,covariance
9.0,8.5,9.5,10.0,9.5,10.5,1.807e-07
10.0,9.5,10.5,10.0,9.5,10.5,4.292e-07
11.0,10.5,11.5,10.0,9.5,10.5,1.59e-08
12.0,11.5,12.5,10.0,9.5,10.5,7.592e-08
13.0,12.5,13.5,10.0,9.5,10.5,1.125e-08
14.0,13.5,14.5,10.0,9.5,10.5,6.962e-09
15.0,14.5,15.5,10.0,9.5,10.5,6.27e-10
1.0,0.5,1.5,11.0,10.5,11.5,4.062e-07
2.0,1.5,2.5,11.0,10.5,11.5,6.649e-06
3.0,2.5,3.5,11.0,10.5,11.5,3.949e-06
4.0,3.5,4.5,11.0,10.5,11.5,2.423e-06
5.0,4.5,5.5,11.0,10.5,11.5,1.525e-06
6.0,5.5,6.5,11.0,10.5,11.5,8.704e-07
7.0,6.5,7.5,11.0,10.5,11.5,6.117e-07
8.0,7.5,8.5,11.0,10.5,11.5,2.496e-07
9.0,8.5,9.5,11.0,10.5,11.5,2.354e-07
10.0,9.5,10.5,11.0,10.5,11.5,1.59e-08
11.0,10.5,11.5,11.0,10.5,11.5,8.723e-08
12.0,11.5,12.5,11.0,10.5,11.5,-5.571e-09
13.0,12.5,13.5,11.0,10.5,11.5,1.239e-08
14.0,13.5,14.5,11.0,10.5,11.5,1.151e-09
15.0,14.5,15.5,11.0,10.5,11.5,3.509e-10
1.0,0.5,1.5,12.0,11.5,12.5,3.187e-07
2.0,1.5,2.5,12.0,11.5,12.5,3.36e-06
3.0,2.5,3.5,12.0,11.5,12.5,2.01e-06
4.0,3.5,4.5,12.0,11.5,12.5,1.266e-06
5.0,4.5,5.5,12.0,11.5,12.5,7.446e-07
6.0,5.5,6.5,12.0,11.5,12.5,5.136e-07
7.0,6.5,7.5,12.0,11.5,12.5,2.469e-07
8.0,7.5,8.5,12.0,11.5,12.5,2.156e-07
9.0,8.5,9.5,12.0,11.5,12.5,6.177e-08
10.0,9.5,10.5,12.0,11.5,12.5,7.592e-08
11.0,10.5,11.5,12.0,11.5,12.5,-5.571e-09
12.0,11.5,12.5,12.0,11.5,12.5,3.305e-08
13.0,12.5,13.5,12.0,11.5,12.5,-3.062e-09
14.0,13.5,14.5,12.0,11.5,12.5,3.196e-09
15.0,14.5,15.5,12.0,11.5,12.5,9.299e-11
1.0,0.5,1.5,13.0,12.5,13.5,6.711e-08
2.0,1.5,2.5,13.0,12.5,13.5,1.171e-06
3.0,2.5,3.5,13.0,12.5,13.5,6.947e-07
4.0,3.5,4.5,13.0,12.5,13.5,4.395e-07
5.0,4.5,5.5,13.0,12.5,13.5,2.566e-07
6.0,5.5,6.5,13.0,12.5,13.5,1.72e-07
7.0,6.5,7.5,13.0,12.5,13.5,9.665e-08
8.0,7.5,8.5,13.0,12.5,13.5,5.834e-08
9.0,8.5,9.5,13.0,12.5,13.5,3.357e-08
10.0,9.5,10.5,13.0,12.5,13.5,1.125e-08
11.0,10.5,11.5,13.0,12.5,13.5,1.239e-08
12.0,11.5,12.5,13.0,12.5,13.5,-3.062e-09
13.0,12.5,13.5,13.0,12.5,13.5,5.191e-09
14.0,13.5,14.5,13.0,12.5,13.5,-9.301e-10
15.0,14.5,15.5,13.0,12.5,13.5,1.425e-10
1.0,0.5,1.5,14.0,13.5,14.5,1.377e-08
2.0,1.5,2.5,14.0,13.5,14.5,3.916e-07
3.0,2.5,3.5,14.0,13.5,14.5,2.288e-07
4.0,3.5,4.5,14.0,13.5,14.5,1.432e-07
5.0,4.5,5.5,14.0,13.5,14.5,8.618e-08
6.0,5.5,6.5,14.0,13.5,14.5,5.817e-08
7.0,6.5,7.5,14.0,13.5,14.5,2.991e-08
8.0,7.5,8.5,14.0,13.5,14.5,2.304e-08
9.0,8.5,9.5,14.0,13.5,14.5,8.972e-09
10.0,9.5,10.5,14.0,13.5,14.5,6.962e-09
11.0,10.5,11.5,14.0,13.5,14.5,1.151e-09
12.0,11.5,12.5,14.0,13.5,14.5,3.196e-09
13.0,12.5,13.5,14.0,13.5,14.5,-9.301e-10
14.0,13.5,14.5,14.0,13.5,14.5,1.485e-09
15.0,14.5,15.5,14.0,13.5,14.5,-6.866e-11
1.0,0.5,1.5,15.0,14.5,15.5,4.537e-09
2.0,1.5,2.5,15.0,14.5,15.5,4.389e-08
3.0,2.5,3.5,15.0,14.5,15.5,2.762e-08
4.0,3.5,4.5,15.0,14.5,15.5,1.691e-08
5.0,4.5,5.5,15.0,14.5,15.5,1.013e-08
6.0,5.5,6.5,15.0,14.5,15.5,6.565e-09
7.0,6.5,7.5,15.0,14.5,15.5,3.838e-09
8.0,7.5,8.5,15.0,14.5,15.5,2.352e-09
9.0,8.5,9.5,15.0,14.5,15.5,1.248e-09
10.0,9.5,10.5,15.0,14.5,15.5,6.27e-10
11.0,10.5,11.5,15.0,14.5,15.5,3.509e-10
12.0,11.5,12.5,15.0,14.5,15.5,9.299e-11
13.0,12.5,13.5,15.0,14.5,15.5,1.425e-10
14.0,13.5,14.5,15.0,14.5,15.5,-6.866e-11
15.0,14.5,15.5,15.0,14.5,15.5,2.761e-11

